CMDLINE python simulation.py
MEM 97.597656 1562420870.5298
MEM 97.597656 1562420870.6671
MEM 97.597656 1562420870.7986
MEM 97.597656 1562420870.9158
MEM 97.597656 1562420871.0353
MEM 97.597656 1562420871.1708
MEM 97.597656 1562420871.3085
MEM 97.597656 1562420871.4442
MEM 97.597656 1562420871.5844
MEM 97.597656 1562420871.7120
MEM 97.597656 1562420871.8280
MEM 97.597656 1562420871.9576
MEM 97.597656 1562420872.0902
MEM 97.597656 1562420872.2230
MEM 97.597656 1562420872.3520
MEM 97.597656 1562420872.4689
MEM 97.597656 1562420872.5952
MEM 97.597656 1562420872.7308
MEM 97.597656 1562420872.8700
MEM 97.597656 1562420873.0018
MEM 97.597656 1562420873.1187
MEM 97.597656 1562420873.2560
MEM 97.597656 1562420873.3913
MEM 97.597656 1562420873.5296
MEM 97.597656 1562420873.6623
MEM 97.597656 1562420873.7773
MEM 97.597656 1562420873.9112
MEM 97.597656 1562420874.0441
MEM 97.597656 1562420874.1790
MEM 97.597656 1562420874.2935
MEM 97.597656 1562420874.4141
MEM 97.597656 1562420874.5480
MEM 97.597656 1562420874.6808
MEM 97.597656 1562420874.8138
MEM 97.597656 1562420874.9321
MEM 97.597656 1562420875.0512
MEM 97.597656 1562420875.1845
MEM 97.597656 1562420875.3208
MEM 97.597656 1562420875.4524
MEM 97.597656 1562420875.5773
MEM 97.597656 1562420875.6952
MEM 97.597656 1562420875.8314
MEM 97.597656 1562420875.9685
MEM 97.597656 1562420876.1035
MEM 97.597656 1562420876.2229
MEM 97.597656 1562420876.3444
MEM 97.597656 1562420876.4789
MEM 97.597656 1562420876.6101
MEM 97.597656 1562420876.7486
MEM 97.597656 1562420876.8719
MEM 97.597656 1562420876.9895
MEM 97.597656 1562420877.1209
MEM 97.597656 1562420877.2520
MEM 97.597656 1562420877.3867
MEM 97.597656 1562420877.5064
MEM 97.597656 1562420877.6263
MEM 97.597656 1562420877.7581
MEM 97.597656 1562420877.8869
MEM 97.597656 1562420878.0199
MEM 97.597656 1562420878.1351
MEM 97.597656 1562420878.2692
MEM 97.597656 1562420878.4060
MEM 97.597656 1562420878.5389
MEM 97.597656 1562420878.6772
MEM 97.597656 1562420878.8168
MEM 97.597656 1562420878.9355
MEM 97.597656 1562420879.0536
MEM 97.597656 1562420879.1902
MEM 97.597656 1562420879.3296
MEM 97.597656 1562420879.4706
MEM 97.597656 1562420879.6058
MEM 97.597656 1562420879.7204
MEM 97.597656 1562420879.8479
MEM 97.597656 1562420879.9843
MEM 97.597656 1562420880.1202
MEM 97.597656 1562420880.2443
MEM 97.597656 1562420880.3626
MEM 97.597656 1562420880.4914
MEM 97.597656 1562420880.6305
MEM 97.597656 1562420880.7580
MEM 97.597656 1562420880.8748
MEM 97.597656 1562420881.0116
MEM 97.597656 1562420881.1456
MEM 97.597656 1562420881.2683
MEM 99.660156 1562420881.3915
MEM 99.660156 1562420881.5233
MEM 99.660156 1562420881.6405
MEM 99.660156 1562420881.7603
MEM 99.660156 1562420881.8973
MEM 99.660156 1562420882.0306
MEM 99.660156 1562420882.1680
MEM 99.660156 1562420882.3025
MEM 99.660156 1562420882.4171
MEM 99.660156 1562420882.5454
MEM 99.660156 1562420882.6819
MEM 99.660156 1562420882.8146
MEM 99.660156 1562420882.9495
MEM 99.660156 1562420883.0641
MEM 99.660156 1562420883.1840
MEM 99.660156 1562420883.3170
MEM 99.660156 1562420883.4481
MEM 99.660156 1562420883.5835
MEM 99.660156 1562420883.6981
MEM 99.660156 1562420883.8177
MEM 99.660156 1562420883.9546
MEM 99.660156 1562420884.0882
MEM 99.660156 1562420884.2252
MEM 99.660156 1562420884.3469
MEM 99.660156 1562420884.4660
MEM 99.660156 1562420884.5953
MEM 99.660156 1562420884.7345
MEM 99.660156 1562420884.8683
MEM 99.660156 1562420884.9939
MEM 99.660156 1562420885.1160
MEM 99.660156 1562420885.2499
MEM 99.660156 1562420885.3795
MEM 99.660156 1562420885.5082
MEM 99.660156 1562420885.6296
MEM 99.660156 1562420885.7511
MEM 99.660156 1562420885.8807
MEM 99.660156 1562420886.0156
MEM 99.660156 1562420886.1306
MEM 99.660156 1562420886.2581
MEM 99.660156 1562420886.3947
MEM 99.660156 1562420886.5320
MEM 99.660156 1562420886.6515
MEM 99.660156 1562420886.7687
MEM 99.660156 1562420886.9000
MEM 99.660156 1562420887.0320
MEM 99.660156 1562420887.1669
MEM 99.660156 1562420887.2816
MEM 99.660156 1562420887.4181
MEM 99.660156 1562420887.5549
MEM 99.660156 1562420887.6914
MEM 99.660156 1562420887.8276
MEM 99.660156 1562420887.9422
MEM 99.660156 1562420888.0726
MEM 99.660156 1562420888.2074
MEM 99.660156 1562420888.3528
MEM 99.660156 1562420888.4766
MEM 99.660156 1562420888.5974
MEM 99.660156 1562420888.7313
MEM 99.660156 1562420888.8677
MEM 99.660156 1562420889.0019
MEM 99.660156 1562420889.1165
MEM 99.660156 1562420889.2479
MEM 99.660156 1562420889.3797
MEM 99.660156 1562420889.5180
MEM 99.660156 1562420889.6379
MEM 99.660156 1562420889.7581
MEM 99.660156 1562420889.8938
MEM 99.660156 1562420890.0300
MEM 99.660156 1562420890.1593
MEM 99.660156 1562420890.2739
MEM 99.660156 1562420890.4029
MEM 99.660156 1562420890.5297
MEM 99.660156 1562420890.6502
MEM 99.660156 1562420890.7719
MEM 99.660156 1562420890.8978
MEM 99.660156 1562420891.0259
MEM 99.660156 1562420891.1463
MEM 99.660156 1562420891.2660
MEM 99.660156 1562420891.3996
MEM 99.660156 1562420891.5386
MEM 99.660156 1562420891.6711
MEM 99.660156 1562420891.7857
MEM 99.660156 1562420891.9058
MEM 99.660156 1562420892.0399
MEM 99.660156 1562420892.1724
MEM 99.660156 1562420892.3022
MEM 99.660156 1562420892.4188
MEM 99.660156 1562420892.5531
MEM 99.660156 1562420892.6938
MEM 99.660156 1562420892.8312
MEM 99.660156 1562420892.9480
MEM 99.660156 1562420893.0677
MEM 99.660156 1562420893.2032
MEM 99.660156 1562420893.3360
MEM 99.660156 1562420893.4715
MEM 99.660156 1562420893.5860
MEM 99.660156 1562420893.7175
MEM 99.660156 1562420893.8544
MEM 99.660156 1562420893.9886
MEM 99.660156 1562420894.1143
MEM 99.660156 1562420894.2315
MEM 99.660156 1562420894.3676
MEM 99.660156 1562420894.5027
MEM 99.660156 1562420894.6373
MEM 99.660156 1562420894.7522
MEM 99.660156 1562420894.8858
MEM 99.660156 1562420895.0208
MEM 99.660156 1562420895.1384
MEM 99.660156 1562420895.2596
MEM 99.660156 1562420895.3962
MEM 99.660156 1562420895.5276
MEM 99.660156 1562420895.6714
MEM 99.660156 1562420895.7882
MEM 99.660156 1562420895.9081
MEM 99.660156 1562420896.0399
MEM 99.660156 1562420896.1729
MEM 99.660156 1562420896.3042
MEM 99.660156 1562420896.4215
MEM 99.660156 1562420896.5558
MEM 99.660156 1562420896.6882
MEM 99.660156 1562420896.8205
MEM 99.660156 1562420896.9352
MEM 99.660156 1562420897.0578
MEM 99.660156 1562420897.1863
MEM 99.660156 1562420897.3238
MEM 99.660156 1562420897.4545
MEM 99.660156 1562420897.5727
MEM 101.675781 1562420897.7084
MEM 101.675781 1562420897.8290
MEM 101.675781 1562420897.9584
MEM 101.675781 1562420898.0919
MEM 101.675781 1562420898.2291
MEM 101.675781 1562420898.3654
MEM 101.675781 1562420898.4861
MEM 101.675781 1562420898.6034
MEM 101.675781 1562420898.7399
MEM 101.675781 1562420898.8755
MEM 101.675781 1562420899.0112
MEM 101.675781 1562420899.1453
MEM 101.675781 1562420899.2598
MEM 101.675781 1562420899.3903
MEM 101.675781 1562420899.5267
